Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
10.76,63.63,0.49,6.11,0.014, 69.5,  3.0, 20.2, 1.2,4752,80,2.709,0.007,0.03,0.15,1.56,0.08,9.13,0.17,1.43,0.07,8.76,0.16,1.58,0.08,9.19,0.17,1
13.39,39.2,0.79,4.328,0.041, 82.9,  4.2, 15.5, 2.0,4803,147,2.501,0.012,-0.51,0.3,1.47,0.14,11.27,0.39,1.3,0.12,10.58,0.36,1.45,0.13,11.19,0.39,2
11.64,105.14,0.68,8.758,0.016, 44.4,  1.7, 34.2, 1.8,4813,80,2.93,0.006,0.18,0.15,1.7,0.08,7.39,0.13,1.6,0.08,7.18,0.13,1.73,0.08,7.47,0.13,1
11.93,31.86,0.82,3.818,0.048,114.1,  5.9, 14.9, 2.1,4633,80,2.403,0.013,0.36,0.15,1.23,0.13,11.56,0.46,1.15,0.12,11.14,0.44,1.23,0.13,11.55,0.46,2
12.19,41.03,0.49,4.564,0.016, 79.7,  3.6, 14.3, 0.9,4798,80,2.521,0.008,-0.29,0.15,1.36,0.08,10.6,0.23,1.22,0.07,10.04,0.21,1.36,0.08,10.6,0.23,1
12.65,191.7,1.08,14.737,0.052, 38.6,  1.5, 49.1, 2.5,4894,80,3.195,0.006,0.09,0.15,1.31,0.06,4.8,0.09,1.27,0.06,4.72,0.09,1.33,0.06,4.82,0.09,1
12.688,215.81,3.19,16.108,0.023,     ,     ,     ,    ,5008,80,3.251,0.008,0.05,0.15,1.36,0.08,4.57,0.1,1.35,0.08,4.56,0.1,1.38,0.09,4.6,0.1,1
13.69,180.02,1.44,14.798,0.029, 42.2,  2.5, 47.5, 3.1,4937,80,3.169,0.007,-0.37,0.15,1.09,0.05,4.49,0.08,1.02,0.05,4.35,0.08,1.1,0.06,4.52,0.08,1
13.38,58.13,0.52,5.691,0.012, 93.3,  4.2, 19.0, 1.1,4585,80,2.662,0.007,0.34,0.15,1.49,0.08,9.44,0.18,1.36,0.07,9.02,0.17,1.51,0.08,9.48,0.18,1
12.12,33.55,0.68,4.048,0.037,103.6,  4.3, 14.2, 1.4,4780,146,2.433,0.012,0.28,0.3,1.19,0.11,11.0,0.38,1.15,0.11,10.8,0.37,1.2,0.11,11.0,0.38,2
13.81,182.26,1.15,14.338,0.034, 47.7,  2.6, 44.3, 2.8,4845,143,3.171,0.008,-0.09,0.3,1.24,0.08,4.8,0.11,1.16,0.07,4.64,0.1,1.25,0.08,4.82,0.11,1
